Symbol,Name,Country,Sector,IPO Year,Industry
NWG,NatWest Group plc American Depositary Shares (each representing two (2) Ordinary Shares),United Kingdom,Finance,2022.0,Commercial Banks
DLTR,Dollar Tree Inc. Common Stock,United States,Consumer Discretionary,1995.0,Department/Specialty Retail Stores
ILMN,Illumina Inc. Common Stock,United States,Health Care,2000.0,Medical Specialities
RMD,ResMed Inc. Common Stock,United States,Health Care,,Medical/Dental Instruments
BBD,Banco Bradesco Sa American Depositary Shares,Brazil,Finance,,Commercial Banks
BCS,Barclays PLC Common Stock,United Kingdom,Finance,,Commercial Banks
WELL,Welltower Inc. Common Stock,United States,Real Estate,,Real Estate Investment Trusts
KEYS,Keysight Technologies Inc. Common Stock,United States,Industrials,2014.0,Industrial Machinery/Components
SBAC,SBA Communications Corporation Class A Common Stock,United States,Real Estate,1999.0,Real Estate Investment Trusts
NDAQ,Nasdaq Inc. Common Stock,United States,Finance,,Investment Bankers/Brokers/Service
GFS,GlobalFoundries Inc. Ordinary Shares,United States,Technology,2021.0,Semiconductors
PEG,Public Service Enterprise Group Incorporated Common Stock,United States,Utilities,,Power Generation
WEC,WEC Energy Group Inc. Common Stock,United States,Utilities,,Power Generation
PPG,PPG Industries Inc. Common Stock,United States,Consumer Discretionary,,Paints/Coatings
ALNY,Alnylam Pharmaceuticals Inc. Common Stock,United States,Health Care,2004.0,Biotechnology: Pharmaceutical Preparations
CRH,CRH PLC American Depositary Shares,Ireland,Industrials,,Building Materials
ROK,Rockwell Automation Inc. Common Stock,United States,Industrials,,Industrial Machinery/Components
ES,Eversource Energy (D/B/A) Common Stock,United States,Utilities,,Electric Utilities: Central
DLR,Digital Realty Trust Inc. Common Stock,United States,Real Estate,2004.0,Real Estate Investment Trusts
OKE,ONEOK Inc. Common Stock,United States,Utilities,,Oil & Gas Production
CPRT,Copart Inc. (DE) Common Stock,United States,Consumer Discretionary,1994.0,Other Specialty Stores
STT,State Street Corporation Common Stock,United States,Finance,,Investment Managers
CEG,Constellation Energy Corporation Common Stock ,United States,Utilities,,Power Generation
CTSH,Cognizant Technology Solutions Corporation Class A Common Stock,United States,Technology,1998.0,EDP Services
GMAB,Genmab A/S ADS,Denmark,Health Care,2019.0,Biotechnology: Commercial Physical & Biological Resarch
BKR,Baker Hughes Company Class A Common Stock,United States,Energy,,Oilfield Services/Equipment
GWW,W.W. Grainger Inc. Common Stock,United States,Industrials,,Industrial Machinery/Components
CHT,Chunghwa Telecom Co. Ltd.,Taiwan,Telecommunications,,Telecommunications Equipment
SE,Sea Limited American Depositary Shares each representing one Class A Ordinary Share,United States,Technology,2017.0,Computer Software: Prepackaged Software
DELL,Dell Technologies Inc. Class C Common Stock ,,Technology,2018.0,Computer Manufacturing
CQP,Cheniere Energy Partners LP Cheniere Energy Partners LP Common Units,United States,Utilities,2007.0,Oil/Gas Transmission
FMX,Fomento Economico Mexicano S.A.B. de C.V. Common Stock,Mexico,Consumer Staples,,Beverages (Production/Distribution)
AWK,American Water Works Company Inc. Common Stock,United States,Utilities,2008.0,Water Supply
VOD,Vodafone Group Plc American Depositary Shares,United Kingdom,Telecommunications,,Telecommunications Equipment
CPNG,Coupang Inc. Class A Common Stock,,Consumer Discretionary,2021.0,Durable Goods
FAST,Fastenal Company Common Stock,United States,Basic Materials,1987.0,Construction Materials
VRSK,Verisk Analytics Inc. Common Stock,United States,Consumer Discretionary,2009.0,Business Services
MBLY,Mobileye Global Inc. Class A Common Stock,Israel,Consumer Discretionary,2022.0,Automotive Aftermarket
SLF,Sun Life Financial Inc. Common Stock,Canada,Consumer Discretionary,,Advertising
BBDO,Banco Bradesco Sa American Depositary Shares (each representing one Common Share),Brazil,Finance,,Commercial Banks
ON,ON Semiconductor Corporation Common Stock,United States,Technology,,Semiconductors
GLW,Corning Incorporated Common Stock,United States,Technology,,Industrial Machinery/Components
ZBH,Zimmer Biomet Holdings Inc. Common Stock,United States,Health Care,,Industrial Specialties
LYB,LyondellBasell Industries NV Ordinary Shares Class A (Netherlands),Netherlands,Industrials,,Industrial Specialties
LEN,Lennar Corporation Class A Common Stock,United States,Real Estate,,Building operators
IT,Gartner Inc. Common Stock,United States,Finance,1993.0,Diversified Commercial Services
ALB,Albemarle Corporation Common Stock,United States,Industrials,,Industrial Specialties
DFS,Discover Financial Services Common Stock,United States,Finance,,Finance: Consumer Services
IFF,International Flavors & Fragrances Inc. Common Stock,United States,Industrials,,Major Chemicals
WTW,Willis Towers Watson Public Limited Company Ordinary Shares,United Kingdom,Finance,2001.0,Specialty Insurers
ORAN,Orange,France,Telecommunications,,Telecommunications Equipment
HPQ,HP Inc. Common Stock,United States,Technology,,Computer Manufacturing
FERG,Ferguson plc Ordinary Shares,,Consumer Discretionary,2021.0,Industrial Machinery/Components
NOK,Nokia Corporation Sponsored American Depositary Shares,Finland,Technology,1994.0,Radio And Television Broadcasting And Communications Equipment
HZNP,Horizon Therapeutics Public Limited Company Ordinary Shares,Ireland,Health Care,2011.0,Biotechnology: Pharmaceutical Preparations
GPN,Global Payments Inc. Common Stock,United States,Consumer Discretionary,,Business Services
VEEV,Veeva Systems Inc. Class A Common Stock,,Technology,2013.0,Computer Software: Prepackaged Software
BAX,Baxter International Inc. Common Stock,United States,Health Care,,Medical/Dental Instruments
CCEP,Coca-Cola Europacific Partners plc Ordinary Shares,United Kingdom,Consumer Staples,,Beverages (Production/Distribution)
WIT,Wipro Limited Common Stock,India,Technology,,EDP Services
MTB,M&T Bank Corporation Common Stock,United States,Finance,,Major Banks
HRL,Hormel Foods Corporation Common Stock,United States,Consumer Staples,,Meat/Poultry/Fish
GPC,Genuine Parts Company Common Stock,United States,Consumer Discretionary,,Automotive Aftermarket
APTV,Aptiv PLC Ordinary Shares,United Kingdom,Consumer Discretionary,2011.0,Auto Parts:O.E.M.
TROW,T. Rowe Price Group Inc. Common Stock,United States,Finance,1986.0,Investment Managers
K,Kellogg Company Common Stock,United States,Consumer Staples,,Packaged Foods
CRWD,CrowdStrike Holdings Inc. Class A Common Stock,United States,Technology,2019.0,EDP Services
URI,United Rentals Inc. Common Stock,United States,Consumer Discretionary,1997.0,Diversified Commercial Services
SGEN,Seagen Inc. Common Stock,United States,Health Care,2001.0,Biotechnology: Biological Products (No Diagnostic Substances)
FANG,Diamondback Energy Inc. Common Stock,United States,Energy,2012.0,Oil & Gas Production
CDW,CDW Corporation Common Stock,United States,Consumer Discretionary,2013.0,Catalog/Specialty Distribution
HIG,Hartford Financial Services Group Inc. (The) Common Stock,United States,Finance,,Property-Casualty Insurers
ARE,Alexandria Real Estate Equities Inc. Common Stock,United States,Real Estate,,Real Estate Investment Trusts
CBRE,CBRE Group Inc Common Stock Class A,United States,Finance,,Real Estate
BGNE,BeiGene Ltd. American Depositary Shares,Cayman Islands,Health Care,2016.0,Biotechnology: Pharmaceutical Preparations
EFX,Equifax Inc. Common Stock,United States,Finance,,Advertising
ETR,Entergy Corporation Common Stock,United States,Utilities,,Electric Utilities: Central
FE,FirstEnergy Corp. Common Stock,United States,Utilities,,Electric Utilities: Central
TSCO,Tractor Supply Company Common Stock,United States,Consumer Discretionary,1994.0,Other Specialty Stores
YUMC,Yum China Holdings Inc. Common Stock,United States,Consumer Discretionary,2016.0,Restaurants
SQM,Sociedad Quimica y Minera S.A. Common Stock,Chile,Industrials,1993.0,Agricultural Chemicals
TLK,PT Telekomunikasi Indonesia Tbk,Indonesia,Telecommunications,,Telecommunications Equipment
ACGL,Arch Capital Group Ltd. Common Stock,Bermuda,Finance,,Property-Casualty Insurers
DDOG,Datadog Inc. Class A Common Stock,United States,Technology,2019.0,EDP Services
DB,Deutsche Bank AG Common Stock,Germany,Finance,,Commercial Banks
WY,Weyerhaeuser Company Common Stock,United States,Real Estate,,Real Estate Investment Trusts
AEE,Ameren Corporation Common Stock,United States,Utilities,,Power Generation
RJF,Raymond James Financial Inc. Common Stock,United States,Finance,,Investment Bankers/Brokers/Service
AVB,AvalonBay Communities Inc. Common Stock,United States,Real Estate,,Real Estate Investment Trusts
FTV,Fortive Corporation Common Stock ,,Industrials,2016.0,Industrial Machinery/Components
DTE,DTE Energy Company Common Stock,United States,Utilities,,Electric Utilities: Central
SIRI,Sirius XM Holdings Inc. Common Stock,United States,Consumer Discretionary,,Movies/Entertainment
MKC,McCormick & Company Incorporated Common Stock,United States,Consumer Staples,,Farming/Seeds/Milling
CAJ,Canon Inc. American Depositary Shares,Japan,Consumer Discretionary,,Industrial Machinery/Components
WBD,Warner Bros. Discovery Inc. Series A Common Stock ,United States,Telecommunications,,Cable & Other Pay Television Services
TCOM,Trip.com Group Limited American Depositary Shares,China,Consumer Discretionary,2003.0,Hotels/Resorts
EQR,Equity Residential Common Shares of Beneficial Interest,United States,Real Estate,,Real Estate Investment Trusts
TTD,The Trade Desk Inc. Class A Common Stock,United States,Technology,2016.0,EDP Services
FITB,Fifth Third Bancorp Common Stock,United States,Finance,,Major Banks
TSN,Tyson Foods Inc. Common Stock,United States,Consumer Staples,,Meat/Poultry/Fish
FRC,FIRST REPUBLIC BANK Common Stock,United States,Finance,,Commercial Banks
EBAY,eBay Inc. Common Stock,United States,Consumer Discretionary,1998.0,Catalog/Specialty Distribution
ZTO,ZTO Express (Cayman) Inc. American Depositary Shares each representing one Class A ordinary share.,China,Consumer Discretionary,2016.0,Advertising
VRSN,VeriSign Inc. Common Stock,United States,Technology,1998.0,EDP Services
PPL,PPL Corporation Common Stock,United States,Utilities,,Electric Utilities: Central
CNHI,CNH Industrial N.V. Common Shares,,Industrials,2013.0,Construction/Ag Equipment/Trucks
MT,Arcelor Mittal NY Registry Shares NEW,Luxembourg,Industrials,,Steel/Iron Ore
ARGX,argenx SE American Depositary Shares,Netherlands,Health Care,2017.0,Biotechnology: Biological Products (No Diagnostic Substances)
CAH,Cardinal Health Inc. Common Stock,United States,Health Care,,Other Pharmaceuticals
DAL,Delta Air Lines Inc. Common Stock,United States,Consumer Discretionary,,Air Freight/Delivery Services
IR,Ingersoll Rand Inc. Common Stock,United States,Industrials,2017.0,Industrial Machinery/Components
LUV,Southwest Airlines Company Common Stock,United States,Consumer Discretionary,,Air Freight/Delivery Services
HEI,Heico Corporation Common Stock,United States,Industrials,2000.0,Military/Government/Technical
MLM,Martin Marietta Materials Inc. Common Stock,United States,Industrials,1994.0,Building Materials
PFG,Principal Financial Group Inc Common Stock,United States,Finance,2001.0,Investment Managers
PODD,Insulet Corporation Common Stock,United States,Health Care,2007.0,Medical/Dental Instruments
ANSS,ANSYS Inc. Common Stock,United States,Technology,1996.0,Computer Software: Prepackaged Software
LH,Laboratory Corporation of America Holdings Common Stock,United States,Health Care,,Medical Specialities
WAT,Waters Corporation Common Stock,United States,Health Care,1995.0,Medical Specialities
TEF,Telefonica SA Common Stock,Spain,Telecommunications,1988.0,Telecommunications Equipment
PWR,Quanta Services Inc. Common Stock,United States,Industrials,,Engineering & Construction
TS,Tenaris S.A. American Depositary Shares,Luxembourg,Industrials,,Steel/Iron Ore
HPE,Hewlett Packard Enterprise Company Common Stock,United States,Telecommunications,2015.0,Telecommunications Equipment
HBAN,Huntington Bancshares Incorporated Common Stock,United States,Finance,,Major Banks
CHD,Church & Dwight Company Inc. Common Stock,United States,Consumer Discretionary,,Package Goods/Cosmetics
DASH,DoorDash Inc. Class A Common Stock,,Industrials,2020.0,Industrial Machinery/Components
LI,Li Auto Inc. American Depositary Shares,China,Consumer Discretionary,2020.0,Auto Manufacturing
XYL,Xylem Inc. Common Stock New,United States,Industrials,2011.0,Fluid Controls
RF,Regions Financial Corporation Common Stock,United States,Finance,,Major Banks
EC,Ecopetrol S.A. American Depositary Shares,Colombia,Energy,,Oil & Gas Production
BMRN,BioMarin Pharmaceutical Inc. Common Stock,United States,Health Care,1999.0,Biotechnology: Pharmaceutical Preparations
ELP,Companhia Paranaense de Energia (COPEL) American Depositary Shares (each representing one Unit consisting one Common Share and four non-voting Class B Preferred Shares),Brazil,Utilities,2021.0,Electric Utilities: Central
MOH,Molina Healthcare Inc Common Stock,United States,Health Care,2003.0,Medical Specialities
EXR,Extra Space Storage Inc Common Stock,United States,Real Estate,2004.0,Real Estate Investment Trusts
ERIC,Ericsson American Depositary Shares,Sweden,Technology,,Computer Software: Prepackaged Software
WRB,W.R. Berkley Corporation Common Stock,United States,Finance,,Property-Casualty Insurers
CTRA,Coterra Energy Inc. Common Stock,United States,Energy,,Oil & Gas Production
ZM,Zoom Video Communications Inc. Class A Common Stock,United States,Technology,2019.0,Computer Software: Prepackaged Software
FTS,Fortis Inc. Common Shares,,Utilities,2016.0,Electric Utilities: Central
CFG,Citizens Financial Group Inc. Common Stock,United States,Finance,2014.0,Major Banks
CNP,CenterPoint Energy Inc (Holding Co) Common Stock,United States,Utilities,,Electric Utilities: Central
TPL,Texas Pacific Land Corporation Common Stock,United States,Energy,,Oil & Gas Production
EBR,Centrais Electricas Brasileiras S A American Depositary Shares (Each representing one Common Share),,Utilities,2016.0,Electric Utilities: Central
AES,The AES Corporation Common Stock,United States,Utilities,,Electric Utilities: Central
IX,Orix Corp Ads Common Stock,Japan,Finance,,Diversified Financial Services
NIO,NIO Inc. American depositary shares each  representing one Class A ordinary share,,Consumer Discretionary,2018.0,Auto Manufacturing
DOV,Dover Corporation Common Stock,United States,Industrials,,Industrial Machinery/Components
BEKE,KE Holdings Inc American Depositary Shares (each representing three Class A Ordinary Shares),China,Finance,2020.0,Real Estate
EPAM,EPAM Systems Inc. Common Stock,United States,Technology,2012.0,EDP Services
CAG,ConAgra Brands Inc. Common Stock,United States,Consumer Staples,,Packaged Foods
HOLX,Hologic Inc. Common Stock,United States,Health Care,1990.0,Medical Electronics
TDY,Teledyne Technologies Incorporated Common Stock,United States,Industrials,,Industrial Machinery/Components
JBHT,J.B. Hunt Transport Services Inc. Common Stock,United States,Industrials,,Trucking Freight/Courier Services
PBA,Pembina Pipeline Corp. Ordinary Shares (Canada),Canada,Energy,,Oil & Gas Production
PAYC,Paycom Software Inc. Common Stock,,Technology,2014.0,Computer Software: Prepackaged Software
WMG,Warner Music Group Corp. Class A Common Stock,United States,Consumer Discretionary,2020.0,Movies/Entertainment
NTRS,Northern Trust Corporation Common Stock,United States,Finance,,Trusts Except Educational Religious and Charitable
ROL,Rollins Inc. Common Stock,United States,Consumer Discretionary,,Industrial Specialties
WAB,Westinghouse Air Brake Technologies Corporation Common Stock,United States,Industrials,,Railroads
RIVN,Rivian Automotive Inc. Class A Common Stock,United States,Consumer Discretionary,2021.0,Auto Manufacturing
CMS,CMS Energy Corporation Common Stock,United States,Utilities,,Power Generation
STE,STERIS plc (Ireland) Ordinary Shares,United States,Health Care,,Industrial Specialties
INVH,Invitation Homes Inc. Common Stock,United States,Real Estate,2017.0,Real Estate Investment Trusts
VTR,Ventas Inc. Common Stock,United States,Real Estate,,Real Estate Investment Trusts
NU,Nu Holdings Ltd. Class A Ordinary Shares,Cayman Islands,Finance,2021.0,Finance: Consumer Services
STLD,Steel Dynamics Inc.,United States,Industrials,1996.0,Steel/Iron Ore
INCY,Incyte Corp. Common Stock,United States,Health Care,,Biotechnology: Commercial Physical & Biological Resarch
CLX,Clorox Company (The) Common Stock,United States,Consumer Discretionary,,Specialty Chemicals
MAA,Mid-America Apartment Communities Inc. Common Stock,United States,Real Estate,1994.0,Real Estate Investment Trusts
PKI,PerkinElmer Inc. Common Stock,United States,Health Care,,Medical Specialities
AMCR,Amcor plc Ordinary Shares,,Industrials,2019.0,Containers/Packaging
BBY,Best Buy Co. Inc. Common Stock,United States,Consumer Discretionary,,Consumer Electronics/Video Chains
DGX,Quest Diagnostics Incorporated Common Stock,United States,Health Care,,Medical Specialities
CF,CF Industries Holdings Inc. Common Stock,United States,Industrials,2005.0,Agricultural Chemicals
SUI,Sun Communities Inc. Common Stock,United States,Real Estate,1993.0,Real Estate Investment Trusts
TTM,Tata Motors Ltd Tata Motors Limited,India,Consumer Discretionary,,Auto Manufacturing
RYAAY,Ryanair Holdings plc American Depositary Shares,Ireland,Consumer Discretionary,1997.0,Air Freight/Delivery Services
GRMN,Garmin Ltd. Common Stock (Switzerland),Switzerland,Industrials,2000.0,Industrial Machinery/Components
WST,West Pharmaceutical Services Inc. Common Stock,United States,Health Care,,Medical/Dental Instruments
SEDG,SolarEdge Technologies Inc. Common Stock,Israel,Technology,2015.0,Semiconductors
MKL,Markel Corporation Common Stock,United States,Finance,1986.0,Property-Casualty Insurers
IEX,IDEX Corporation Common Stock,United States,Industrials,1989.0,Fluid Controls
RPRX,Royalty Pharma plc Class A Ordinary Shares ,United States,Health Care,2020.0,Biotechnology: Pharmaceutical Preparations
ABMD,ABIOMED Inc. Common Stock,United States,Health Care,,Medical/Dental Instruments
CPB,Campbell Soup Company Common Stock,United States,Consumer Staples,,Packaged Foods
EXPD,Expeditors International of Washington Inc. Common Stock,United States,Consumer Discretionary,,Oil Refining/Marketing
IEP,Icahn Enterprises L.P. Common Stock,United States,Industrials,,Consumer Electronics/Appliances
UMC,United Microelectronics Corporation (NEW) Common Stock,Taiwan,Technology,,Semiconductors
MRO,Marathon Oil Corporation Common Stock,United States,Energy,,Oil & Gas Production
SJM,J.M. Smucker Company (The) New Common Stock,United States,Consumer Staples,,Packaged Foods
DRI,Darden Restaurants Inc. Common Stock,United States,Consumer Discretionary,,Restaurants
LPLA,LPL Financial Holdings Inc. Common Stock,United States,Finance,2010.0,Investment Bankers/Brokers/Service
PKX,POSCO Holdings Inc. American Depositary Shares (Each representing 1/4th of a share of Common Stock),South Korea,Industrials,1994.0,Steel/Iron Ore
PINS,Pinterest Inc. Class A Common Stock,,Technology,2019.0,Interactive Media
FSLR,First Solar Inc. Common Stock,United States,Technology,2006.0,Semiconductors
CHWY,Chewy Inc. Class A Common Stock,,Consumer Discretionary,2019.0,Catalog/Specialty Distribution
TTWO,Take-Two Interactive Software Inc. Common Stock,United States,Technology,1997.0,Computer Software: Prepackaged Software
FOXA,Fox Corporation Class A Common Stock,United States,Industrials,,Broadcasting
UI,Ubiquiti Inc. Common Stock,United States,Technology,,Radio And Television Broadcasting And Communications Equipment
AGR,Avangrid Inc. Common Stock,United States,Utilities,2015.0,Electric Utilities: Central
WPC,W. P. Carey Inc. REIT,United States,Real Estate,,Real Estate Investment Trusts
COO,The Cooper Companies Inc. Common Stock,United States,Health Care,,Ophthalmic Goods
MPWR,Monolithic Power Systems Inc. Common Stock,United States,Technology,2004.0,Semiconductors
CINF,Cincinnati Financial Corporation Common Stock,United States,Finance,,Property-Casualty Insurers
LYV,Live Nation Entertainment Inc. Common Stock,United States,Consumer Discretionary,,Movies/Entertainment
ATO,Atmos Energy Corporation Common Stock,United States,Utilities,,Oil/Gas Transmission
OMC,Omnicom Group Inc. Common Stock,United States,Consumer Discretionary,,Advertising
BALL,Ball Corporation Common Stock,United States,Industrials,,Containers/Packaging
BRO,Brown & Brown Inc. Common Stock,United States,Finance,,Specialty Insurers
TRGP,Targa Resources Inc. Common Stock,United States,Utilities,2010.0,Natural Gas Distribution
ETSY,Etsy Inc. Common Stock,United States,Consumer Discretionary,2015.0,Catalog/Specialty Distribution
ICLR,ICON plc Ordinary Shares,Ireland,Health Care,1998.0,Biotechnology: Commercial Physical & Biological Resarch
HWM,Howmet Aerospace Inc. Common Stock,United States,Industrials,,Military/Government/Technical
KEY,KeyCorp Common Stock,United States,Finance,,Major Banks
ALGN,Align Technology Inc. Common Stock,United States,Health Care,2001.0,Industrial Specialties
RBLX,Roblox Corporation Class A Common Stock,United States,Technology,2021.0,EDP Services
CHKP,Check Point Software Technologies Ltd. Ordinary Shares,Israel,Technology,1996.0,Computer Software: Prepackaged Software
BR,Broadridge Financial Solutions Inc. Common Stock,United States,Consumer Discretionary,,Business Services
ZS,Zscaler Inc. Common Stock,United States,Technology,2018.0,EDP Services
MGA,Magna International Inc. Common Stock,Canada,Consumer Discretionary,,Auto Parts:O.E.M.
KB,KB Financial Group Inc,South Korea,Finance,,Commercial Banks
FMC,FMC Corporation Common Stock,United States,Industrials,,Agricultural Chemicals
RTO,Rentokil Initial plc American Depositary Shares (each representing five (5) Ordinary Shares),,Consumer Discretionary,2022.0,Industrial Specialties
FOX,Fox Corporation Class B Common Stock,United States,Industrials,,Broadcasting
FICO,Fair Isaac Corproation Common Stock,United States,Technology,,Computer Software: Prepackaged Software
MOS,Mosaic Company (The) Common Stock,United States,Industrials,,Agricultural Chemicals
FDS,FactSet Research Systems Inc. Common Stock,United States,Finance,2000.0,Advertising
J,Jacobs Solutions Inc. Common Stock,,Industrials,2022.0,Oilfield Services/Equipment
SPOT,Spotify Technology S.A. Ordinary Shares,Luxembourg,Consumer Discretionary,2018.0,Broadcasting
SHG,Shinhan Financial Group Co Ltd American Depositary Shares,South Korea,Finance,,Major Banks
NVR,NVR Inc. Common Stock,United States,Consumer Discretionary,1998.0,Homebuilding
NET,Cloudflare Inc. Class A Common Stock,United States,Technology,2019.0,EDP Services
IRM,Iron Mountain Incorporated (Delaware)Common Stock REIT,United States,Real Estate,,Real Estate Investment Trusts
TXT,Textron Inc. Common Stock,United States,Industrials,,Aerospace
SYF,Synchrony Financial Common Stock,United States,Finance,2014.0,Diversified Financial Services
BG,Bunge Limited Bunge Limited,United States,Consumer Staples,2001.0,Farming/Seeds/Milling
ERIE,Erie Indemnity Company Class A Common Stock,United States,Finance,,Specialty Insurers
KOF,Coca Cola Femsa S.A.B. de C.V.  American Depositary Shares each representing 10 Units (each Unit consists of 3 Series B Shares and 5 Series L Shares),Mexico,Consumer Staples,1993.0,Beverages (Production/Distribution)
EVRG,Evergy Inc. Common Stock,,Utilities,2018.0,Power Generation
APA,APA Corporation Common Stock,United States,Energy,,Oil & Gas Production
PTC,PTC Inc. Common Stock,United States,Technology,,Computer Software: Prepackaged Software
LDOS,Leidos Holdings Inc. Common Stock,United States,Technology,,EDP Services
SWKS,Skyworks Solutions Inc. Common Stock,United States,Technology,,Semiconductors
LKQ,LKQ Corporation Common Stock,United States,Consumer Discretionary,2003.0,Automotive Aftermarket
BIP,Brookfield Infrastructure Partners LP Limited Partnership Units,Bermuda,Utilities,,Power Generation
TME,Tencent Music Entertainment Group American Depositary Shares each representing two Class A Ordinary Shares,,Consumer Discretionary,2018.0,Broadcasting
SNAP,Snap Inc. Class A Common Stock,United States,Technology,2017.0,Internet and Information Services
FWONK,Liberty Media Corporation Series C Liberty Formula One Common Stock,United States,Consumer Discretionary,,Movies/Entertainment
SPLK,Splunk Inc. Common Stock,United States,Technology,2012.0,Computer Software: Prepackaged Software
CBOE,Cboe Global Markets Inc. Common Stock,,Finance,2010.0,Investment Bankers/Brokers/Service
AVTR,Avantor Inc. Common Stock,,Industrials,2019.0,Industrial Specialties
AER,AerCap Holdings N.V. Ordinary Shares,Netherlands,Consumer Discretionary,2006.0,Diversified Commercial Services
HTHT,H World Group Limited American Depositary Shares,China,Consumer Discretionary,2010.0,Hotels/Resorts
HUBS,HubSpot Inc. Common Stock,United States,Technology,2014.0,Computer Software: Prepackaged Software
LNT,Alliant Energy Corporation Common Stock,United States,Utilities,,Power Generation
BAH,Booz Allen Hamilton Holding Corporation Common Stock,United States,Consumer Discretionary,2010.0,Professional Services
ASX,ASE Technology Holding Co. Ltd. American Depositary Shares (each representing Two Common Shares) ,,Technology,2018.0,Semiconductors
MDB,MongoDB Inc. Class A Common Stock,United States,Technology,2017.0,Retail: Computer Software & Peripheral Equipment
L,Loews Corporation Common Stock,United States,Finance,,Property-Casualty Insurers
ESS,Essex Property Trust Inc. Common Stock,United States,Real Estate,1994.0,Real Estate Investment Trusts
NDSN,Nordson Corporation Common Stock,United States,Industrials,,Industrial Machinery/Components
TER,Teradyne Inc. Common Stock,United States,Industrials,,Electrical Products
TYL,Tyler Technologies Inc. Common Stock,United States,Technology,,Computer Software: Prepackaged Software
PEAK,Healthpeak Properties Inc. Common Stock,United States,Real Estate,,Real Estate Investment Trusts
GLPI,Gaming and Leisure Properties Inc. Common Stock,United States,Real Estate,,Real Estate Investment Trusts
BEN,Franklin Resources Inc. Common Stock,United States,Finance,,Investment Managers
AZPN,Aspen Technology Inc. Common Stock,United States,Technology,,EDP Services
EXPE,Expedia Group Inc. Common Stock,United States,Consumer Discretionary,,Other Consumer Services
WLK,Westlake Corporation Common Stock,United States,Industrials,2004.0,Major Chemicals
SJR,Shaw Communications Inc. Common Stock,Canada,Telecommunications,,Cable & Other Pay Television Services
PLTR,Palantir Technologies Inc. Class A Common Stock,,Technology,2020.0,Retail: Computer Software & Peripheral Equipment
FHN,First Horizon Corporation Common Stock,United States,Finance,,Major Banks
TW,Tradeweb Markets Inc. Class A Common Stock,United States,Finance,2019.0,Investment Bankers/Brokers/Service
FLT,FleetCor Technologies Inc. Common Stock,United States,Technology,2010.0,EDP Services
VTRS,Viatris Inc. Common Stock,United States,Health Care,, Medicinal Chemicals and Botanical Products 
RE,Everest Re Group Ltd. Common Stock,Bermuda,Finance,,Property-Casualty Insurers
TECH,Bio-Techne Corp Common Stock,United States,Health Care,,Biotechnology: Biological Products (No Diagnostic Substances)
AKAM,Akamai Technologies Inc. Common Stock,United States,Consumer Discretionary,1999.0,Business Services
SSNC,SS&C Technologies Holdings Inc. Common Stock,United States,Technology,2010.0,EDP Services
MGM,MGM Resorts International Common Stock,United States,Consumer Discretionary,,Hotels/Resorts
CRBG,Corebridge Financial Inc. Common Stock,,Finance,2022.0,Finance Companies
LSXMB,Liberty Media Corporation Series B Liberty SiriusXM Common Stock,United States,Consumer Discretionary,,Broadcasting
KIM,Kimco Realty Corporation Common Stock,United States,Real Estate,,Real Estate Investment Trusts
JKHY,Jack Henry & Associates Inc. Common Stock,United States,Technology,1985.0,Retail: Computer Software & Peripheral Equipment
EQT,EQT Corporation Common Stock,United States,Energy,,Oil & Gas Production
PARAA,Paramount Global Class A Common Stock,United States,Consumer Discretionary,,Movies/Entertainment
PHG,Koninklijke Philips N.V. NY Registry Shares,Netherlands,Health Care,,Biotechnology: Electromedical & Electrotherapeutic Apparatus
ZBRA,Zebra Technologies Corporation Class A Common Stock,United States,Technology,1991.0,Computer peripheral equipment
LSXMA,Liberty Media Corporation Series A Liberty SiriusXM Common Stock,United States,Consumer Discretionary,,Broadcasting
SIVB,SVB Financial Group Common Stock,United States,Finance,,Major Banks
IPG,Interpublic Group of Companies Inc. (The) Common Stock,United States,Consumer Discretionary,,Advertising
LW,Lamb Weston Holdings Inc. Common Stock ,,Consumer Staples,2016.0,Specialty Foods
LSXMK,Liberty Media Corporation Series C Liberty SiriusXM Common Stock,United States,Consumer Discretionary,,Broadcasting
RPM,RPM International Inc. Common Stock,United States,Consumer Discretionary,,Paints/Coatings
NTAP,NetApp Inc. Common Stock,United States,Technology,1995.0,Electronic Components
UTHR,United Therapeutics Corporation Common Stock,United States,Health Care,1999.0,Biotechnology: Pharmaceutical Preparations
HUBB,Hubbell Inc Common Stock,United States,Technology,2015.0,Industrial Machinery/Components
BURL,Burlington Stores Inc. Common Stock,,Consumer Discretionary,2013.0,Apparel
CHK,Chesapeake Energy Corporation Common Stock,United States,Energy,,Oil & Gas Production
UAL,United Airlines Holdings Inc. Common Stock,United States,Consumer Discretionary,,Air Freight/Delivery Services
UDR,UDR Inc. Common Stock,United States,Real Estate,,Real Estate Investment Trusts
FWONA,Liberty Media Corporation Series A Liberty Formula One Common Stock,United States,Consumer Discretionary,,Movies/Entertainment
DPZ,Domino's Pizza Inc Common Stock,United States,Consumer Discretionary,2004.0,Food Distributors
WTRG,Essential Utilities Inc. Common Stock,United States,Utilities,,Water Supply
OVV,Ovintiv Inc. (DE),Canada,Energy,,Oil & Gas Production
NICE,NICE Ltd American Depositary Shares,Israel,Technology,,Computer Software: Prepackaged Software
